,image_url,price,product_name,product_url,review_count,source_product_id,star_rating
216,https://m.media-amazon.com/images/I/51VZANm2LEL._AC_UL436_.jpg,,Cusomcardphone Cardly (Two) Cell Phone Stick on Wallet Card Holder Phone Pocket for All Smartphones (World Record),https://www.amazon.com/Cusomcardphone-Cardly-Wallet-Holder-Smartphones/dp/B07NYBVZX7/ref=sr_1_185?keywords=laptop&qid=1558935009&s=wireless&sr=1-185,,B07NYBVZX7,
217,https://m.media-amazon.com/images/I/51tvNCG7LlL._AC_UL436_.jpg,,Cusomcardphone German Shepherd Cell Phone Stick On Wallet Card Holder Phone Pocket for All Smartphones - 2 Piece,https://www.amazon.com/Cusomcardphone-German-Shepherd-Wallet-Smartphones/dp/B07NY51M7L/ref=sr_1_186?keywords=laptop&qid=1558935009&s=wireless&sr=1-186,,B07NY51M7L,
218,https://m.media-amazon.com/images/I/51lRQB7AKuL._AC_UL436_.jpg,,"TysoOLDPhoneC Mouth with Tongue Sticking Out Adhesive Silicone Cell Phone Wallet/Card Holder for iPhone, Android, Samsung Galaxy, Most Smartphones - 2 Piece",https://www.amazon.com/TysoOLDPhoneC-Sticking-Adhesive-Silicone-Smartphones/dp/B07NRJ8ZZ8/ref=sr_1_187?keywords=laptop&qid=1558935009&s=wireless&sr=1-187,,B07NRJ8ZZ8,
219,https://m.media-amazon.com/images/I/51wk3yo8RWL._AC_UL436_.jpg,,Cusomcardphone Chevron(2) Premium PU Phone Card Holder Stick On Wallet for iPhone and Android Smartphones Kangaroo,https://www.amazon.com/Cusomcardphone-Chevron-Premium-Smartphones-Kangaroo/dp/B07PJPG2N5/ref=sr_1_188?keywords=laptop&qid=1558935009&s=wireless&sr=1-188,,B07PJPG2N5,
220,https://m.media-amazon.com/images/I/51RYeO4JjeL._AC_UL436_.jpg,,Cusomcardphone Cloudy Marble On Golden Rose Premium PU Phone Card Holder Stick On Wallet for iPhone and Android Smartphones Kangaroo,https://www.amazon.com/Cusomcardphone-Premium-Android-Smartphones-Kangaroo/dp/B07PGF9BB2/ref=sr_1_189?keywords=laptop&qid=1558935009&s=wireless&sr=1-189,,B07PGF9BB2,
221,https://m.media-amazon.com/images/I/51OoJAr719L._AC_UL436_.jpg,,"TysoOLDPhoneC Yellow and White Moroccan Quatrefoil Ultra Thin Stick-on Credit Card Holder Sticker Cell Phone Wallet for Back of iPhone, Samsung, Most Smartphones & Cases 2 PCS",https://www.amazon.com/TysoOLDPhoneC-Moroccan-Quatrefoil-Sticker-Smartphones/dp/B07PFJWSXM/ref=sr_1_190?keywords=laptop&qid=1558935009&s=wireless&sr=1-190,,B07PFJWSXM,
222,https://m.media-amazon.com/images/I/61sZf2X4hjL._AC_UL436_.jpg,,TysoOLDPhoneC Great Wall - Coffee Choco Nilla Card Secure Holder Stick on PU Wallet Pouch Support iPhone Or Android Smartphones,https://www.amazon.com/TysoOLDPhoneC-Great-Wall-Support-Smartphones/dp/B07PFDCD84/ref=sr_1_191?keywords=laptop&qid=1558935009&s=wireless&sr=1-191,,B07PFDCD84,
223,https://m.media-amazon.com/images/I/61-W6q2mQ3L._AC_UL436_.jpg,,"CardlyPhCardH Dahlia On Coral and Gold Pattern Design Cell Phone Card Holder, Stick On Wallet for Back of Phone, for iPhone, All Smartphones - 2Pack",https://www.amazon.com/CardlyPhCardH-Dahlia-Pattern-Design-Smartphones/dp/B07PDFWZBW/ref=sr_1_192?keywords=laptop&qid=1558935009&s=wireless&sr=1-192,,B07PDFWZBW,
224,https://m.media-amazon.com/images/I/61ViOMIUhmL._AC_UL436_.jpg,$219.99,"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_mobile_sr_pg9_1?ie=UTF8&adId=A00572632WPM381N34O0&url=%2FLenovo-Chromebook-MediaTek-Processor-81JW0000US%2Fdp%2FB07GLV1VC7%2Fref%3Dsr_1_193_sspa%3Fkeywords%3Dlaptop%26qid%3D1558935019%26s%3Dwireless%26sr%3D1-193-spons%26psc%3D1&qualifier=1558935019&id=8874614730448628&widgetName=sp_atf_next,                                        36                                ,B07GLV1VC7,3.9 out of 5 stars
225,https://m.media-amazon.com/images/I/818mkn+SPLL._AC_UL436_.jpg,$272.29,"Acer Chromebook R 11 Convertible, 11.6-Inch HD Touch, Intel Celeron N3150, 4GB DDR3L, 32GB, Chrome, CB5-132T-C1LK",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_mobile_sr_pg9_2?ie=UTF8&adId=A08075713R1YK3WJ36LPE&url=%2FAcer-Chromebook-Convertible-11-6-Inch-CB5-132T-C1LK%2Fdp%2FB01J42JPJG%2Fref%3Dsr_1_194_sspa%3Fkeywords%3Dlaptop%26qid%3D1558935019%26s%3Dwireless%26sr%3D1-194-spons%26psc%3D1&qualifier=1558935019&id=8874614730448628&widgetName=sp_atf_next,                                        1043                                ,B01J42JPJG,4.0 out of 5 stars
