price,source_product_id,product_name,product_url,review_count,star_rating
$31.51,B007HM2D6S,"Estee Lauder Matte Perfecting Primer Normal/Combination Skin and Oily Skin for Women, 1.0 Ounce",https://www.amazon.com/Estee-Lauder-Perfecting-Primer-Combination/dp/B007HM2D6S/ref=sr_1_54?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-54,22.0,4.0 out of 5 stars
$27.00,B007HM2NPE,"Estee Lauder Illuminating Perfecting Primer Normal/Combination and Dry Skin for Women, 1.0 Ounce",https://www.amazon.com/Estee-Lauder-Illuminating-Perfecting-Combination/dp/B007HM2NPE/ref=sr_1_55?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-55,35.0,3.9 out of 5 stars
$53.75,B00B7E558K,"Estee Lauder Advanced Night Repair Eye Serum with Synchronized Complex II, 0.5 Ounce",https://www.amazon.com/Estee-Lauder-Advanced-Synchronized-Complex/dp/B00B7E558K/ref=sr_1_56?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-56,26.0,3.2 out of 5 stars
,B004OFI54K,"Estee Lauder Daywear Multi Protection Anti Oxidant Creme SPF 15 for Unisex, 1.7 Ounce",https://www.amazon.com/Estee-Lauder-Daywear-Protection-Oxidant/dp/B004OFI54K/ref=sr_1_57?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-57,88.0,4.4 out of 5 stars
$38.00,B00B5QWGIW,"Estee Lauder Double Wear Stay-in-Place Makeup SPF 10 for All Skin Types, No. 4n2 Spiced Sand, 1 Ounce",https://www.amazon.com/Estee-Lauder-Double-Place-Makeup/dp/B00B5QWGIW/ref=sr_1_58?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-58,29.0,4.4 out of 5 stars
$42.98,B001J7L93K,Estee Lauder Soft Clean Silky Hydrating Lotion 400ml/13.5oz,https://www.amazon.com/Estee-Lauder-Hydrating-Lotion-13-5oz/dp/B001J7L93K/ref=sr_1_59?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-59,17.0,3.5 out of 5 stars
$27.72,B01EB1HQ2I,"Estee Lauder Advanced Night Micro Cleansing Foam, 3.4 Ounce",https://www.amazon.com/Estee-Lauder-Advanced-Night-Cleansing/dp/B01EB1HQ2I/ref=sr_1_60?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-60,13.0,3.5 out of 5 stars
$25.00,B00UBW93OG,"Estee Lauder Little Primer, No. 01 Black, 0.21 Ounce",https://www.amazon.com/Estee-Lauder-Little-Primer-Black/dp/B00UBW93OG/ref=sr_1_61?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-61,10.0,3.8 out of 5 stars
$28.96,B078MQG6X5,,https://www.amazon.com/Double-Maximum-Camouflage-Makeup-Spectrum/dp/B078MQG6X5/ref=sr_1_62?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-62,2.0,5.0 out of 5 stars
$31.97,B01M8HGF3A,"Estee Lauder The Brow Multi-tasker - 02 Light Brunette By Estee Lauder - 0.008 Oz Eyebrow Pencil, 0.018 Ounce",https://www.amazon.com/Estee-Lauder-Brow-Multi-tasker-Brunette/dp/B01M8HGF3A/ref=sr_1_63?qid=1556613045&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-63,3.0,5.0 out of 5 stars
