product_id,source_product_name,digit_in_url
2229,"Honor 9i (Aurora Blue, 64 GB)",https://www.digit.in/reviews/mobile-phones/huawei-honor-9i-review-68440.html
2282,"Honor 9N (Black, 4GB RAM, 128GB Storage)",https://www.digit.in/reviews/mobile-phones/huawei-honor-9n-review-134316.html
2282,"Honor 9N (Blue, 4GB RAM, 64GB Storage)",https://www.digit.in/reviews/mobile-phones/huawei-honor-9n-review-134316.html
2043,"Lava Z40 (Black, 8 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-k6-note-review-48489.html
1746,"Lenovo K6 Note (Gold, 32 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-k6-note-review-48489.html
1767,"Lenovo K6 Note (Gold, 32 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-k6-note-review-48489.html
1767,"Lenovo K6 Note (Grey, 32 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-k6-note-review-48489.html
1767,"Lenovo K6 Note (Grey/Dark Grey, 32 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-k6-note-review-48489.html
1767,"Lenovo K6 Note (Grey/Dark Grey, 32 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-k6-note-review-48489.html
1767,"Lenovo K6 Note (Silver, 32 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-k6-note-review-48489.html
1767,"Lenovo K6 Note (Silver, 32 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-k6-note-review-48489.html
2131,"Lenovo Phab 2 Plus (Champagne Gold, 32 GB)",https://www.digit.in/reviews/mobile-phones/lenovo-phab-2-plus-review-41483.html
2311,"LG Q6 (Black, 32 GB)",https://www.digit.in/reviews/mobile-phones/lg-q6-review-63781.html
2319,"Nokia 6.1 (Black, Copper, 32 GB)",https://www.digit.in/reviews/mobile-phones/nokia-6-1-review-131171.html
2320,"Nokia 6.1 Plus (White, 64 GB)",https://www.digit.in/reviews/mobile-phones/nokia-6-1-review-131171.html
2318,"Nokia 5.1 Plus (Black, 64 GB)",https://www.digit.in/reviews/mobile-phones/nokia-x5-review-134400.html
2259,"OPPO F3 (Rose Gold, 64 GB)",https://www.digit.in/reviews/mobile-phones/oppo-f3-review-58377.html
2241,"OPPO F9 Pro (Twilight Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.digit.in/reviews/mobile-phones/oppo-f9-pro-review-134946.html
