source_product_name,url
"Apple iPhone 6s Plus (Silver, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-6s-and-iphone-6s-plus-review-786021
"Apple iPhone 7 Plus (Jet Black, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-7-and-iphone-7-plus-review-1643412
"Apple iPhone 7 (PRODUCT) (Red, 256 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-7-and-iphone-7-plus-review-1643412
"Apple iPhone 7 Plus (Red, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-7-and-iphone-7-plus-review-1643412
"Apple iPhone 8 (PRODUCT)RED (Red, 256 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-8-review-iphone-8-plus-review-1756902
"Apple iPhone SE (Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-se-review-821967
"Apple iPhone SE (Space Grey, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-se-review-821967
"Apple iPhone XR (White, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-xr-review-1970658
"Apple iPhone XS (Gold, 512 GB)",https://gadgets.ndtv.com/mobiles/reviews/iphone-xs-review-iphone-xs-max-1970657
"Lenovo K6 Note (Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lenovo-k6-note-review-1641053
"Lenovo K6 Note (Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lenovo-k6-note-review-1641053
"Lenovo K6 Note (Grey, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lenovo-k6-note-review-1641053
"Lenovo K6 Note (Grey/Dark Grey, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lenovo-k6-note-review-1641053
"Lenovo K6 Note (Grey/Dark Grey, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lenovo-k6-note-review-1641053
"Lenovo K6 Note (Silver, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lenovo-k6-note-review-1641053
"Lenovo K6 Note (Silver, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lenovo-k6-note-review-1641053
"Lenovo Phab 2 Plus (Champagne Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lenovo-phab-2-plus-review-1626707
"LG G7+ ThinQ (Blue, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/lg-g7-thinq-review-1902096
"LG Q6 (Black, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/lg-q6-review-1740132
"Nokia 5.1 Plus (Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/nokia-5-1-plus-review-1928405
"Nokia 6.1 (Black, Copper, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/nokia-6-1-plus-review-india-price-design-performance-battery-life-1908213
"Nokia 6.1 Plus (White, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/nokia-6-1-plus-review-india-price-design-performance-battery-life-1908213
"Nokia 7.1_BL (Blue, 4GB, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/nokia-7-1-review-nokia-7-2018-price-in-india-1959111
"Nokia 8.1 (Iron, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/nokia-8-1-review-1959484
"Nokia 8.1 (Blue, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/nokia-8-1-review-1959484
"Nokia 8.1 (Iron, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/nokia-8-1-review-1959484
"OPPO F3 (Rose Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/oppo-f3-review-1694203
"OPPO F7 (Red, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/oppo-f7-review-1832718
"OPPO F9 Pro (Twilight Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://gadgets.ndtv.com/mobiles/reviews/oppo-f9-pro-review-1911150
"Realme 1 (Solar Red, Red, 128 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-1-review-1852856
"Realme 1 (Diamond Red, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-1-review-1852856
"Realme 2 Pro (Black Sea, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/realme-2-pro-review-1923049
"Realme 3 Pro (Carbon Grey, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-3-pro-review-india-price-2025239
"Realme 3 (Dynamic Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-3-review-2002246
"Realme 3 (Dynamic Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-3-review-2002246
Realme C1 (2Gb+32GB){Mirror Black},https://gadgets.ndtv.com/mobiles/reviews/realme-c1-review-1936724
"Realme U1 (Ambitious Black, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-u1-review-1954595
"Realme U1 (Brave Blue, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-u1-review-1954595
"Realme U1 (Ambitious Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-u1-review-1954595
"Realme U1 (Ambitious Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-u1-review-1954595
"Realme U1 (Brave Blue, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-u1-review-1954595
"Realme U1 (Fiery Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-u1-review-1954595
"Realme U1 (Fiery Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/realme-u1-review-1954595
"Redmi 5 (Black, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
"Redmi 5 (Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
"Redmi 5 (Black, 2GB RAM, 16GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
"Redmi 5 (Gold, 2GB RAM, 16GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
"Redmi 5 (Gold, 2GB RAM, 16GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
"Redmi Note 5 (Rose Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/redmi-5-review-xiaomi-1828665
