product_id,source_product_name,91 mobiles_url
2259,"OPPO F3 (Rose Gold, 64 GB)",https://www.91mobiles.com/hub/oppo-f3-review?pid=30388
2090,"OPPO F7 (Red, 128 GB)",https://www.91mobiles.com/hub/oppo-f7-review?pid=32343
2241,"OPPO F9 Pro (Twilight Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.91mobiles.com/hub/oppo-f9-pro-review?pid=32793
2355,"Realme 1 (Solar Red, Red, 128 GB)",https://www.91mobiles.com/hub/realme-1-review?pid=32555
2355,"Realme 1 (Diamond Red, 64 GB)",https://www.91mobiles.com/hub/realme-1-review?pid=32654
2355,"Realme 2 Pro (Black Sea, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/realme-2-pro-review?pid=32936
1883,"Panasonic P9 (Champagne Gold, 16 GB)",https://www.91mobiles.com/hub/realme-3-pro-review?pid=33249
2357,"Realme 3 (Dynamic Black, 64 GB)",https://www.91mobiles.com/hub/realme-3-pro-review?pid=33249
2478,"Realme 3 (Dynamic Black, 64 GB)",https://www.91mobiles.com/hub/realme-3-pro-review?pid=33249
2478,"Realme 3 Pro (Carbon Grey, 64 GB)",https://www.91mobiles.com/hub/realme-3-pro-review?pid=33249
2490,Realme C1 (2Gb+32GB){Mirror Black},https://www.91mobiles.com/hub/realme-c1-review?pid=33048
2358,"Realme U1 (Ambitious Black, 32 GB)",https://www.91mobiles.com/hub/realme-u1-review?pid=33254
2426,"Realme U1 (Brave Blue, 32 GB)",https://www.91mobiles.com/hub/realme-u1-review?pid=33254
2426,"Realme U1 (Ambitious Black, 64 GB)",https://www.91mobiles.com/hub/realme-u1-review?pid=33285
2426,"Realme U1 (Ambitious Black, 64 GB)",https://www.91mobiles.com/hub/realme-u1-review?pid=33285
2426,"Realme U1 (Brave Blue, 64 GB)",https://www.91mobiles.com/hub/realme-u1-review?pid=33285
2426,"Realme U1 (Fiery Gold, 64 GB)",https://www.91mobiles.com/hub/realme-u1-review?pid=33285
2426,"Realme U1 (Fiery Gold, 64 GB)",https://www.91mobiles.com/hub/realme-u1-review?pid=33285
2484,"Samsung Galaxy A30 (Red, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.91mobiles.com/hub/samsung-galaxy-a30-review?pid=33429
2439,"Samsung Galaxy A50 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.91mobiles.com/hub/samsung-galaxy-a50-review?pid=33299
2439,"Samsung Galaxy A50 (Black, 64 GB)",https://www.91mobiles.com/hub/samsung-galaxy-a50-review?pid=33299
2439,"Samsung Galaxy A50 (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.91mobiles.com/hub/samsung-galaxy-a50-review?pid=33299
2449,"Samsung Galaxy M10 (Charcoal Black, 32 GB)",https://www.91mobiles.com/hub/samsung-galaxy-m10-review?pid=33447
2450,"Samsung Galaxy M20 (Ocean Blue, 32 GB)",https://www.91mobiles.com/hub/samsung-galaxy-m20-review?pid=33263
2461,"Samsung Galaxy M30 (Gradation Black, 128 GB)",https://www.91mobiles.com/hub/samsung-galaxy-m30-review?pid=33552
2156,"Samsung Galaxy Note 8 (Orchid Grey, 64 GB)",https://www.91mobiles.com/hub/samsung-galaxy-note8-review?pid=30059
2474,"Samsung Galaxy S10 Plus (Prism White, 128 GB)",https://www.91mobiles.com/hub/samsung-galaxy-s10-plus-review?pid=32748
2477,"Samsung Galaxy S10e (Prism White, 128 GB)",https://www.91mobiles.com/hub/samsung-galaxy-s10e-review?pid=33478
2238,"Samsung Galaxy S9 Plus (Polaris Blue, 64 GB)",https://www.91mobiles.com/hub/samsung-galaxy-s9-plus-review?pid=30894
2238,"Samsung Galaxy S9 Plus (Coral Blue, 128 GB)",https://www.91mobiles.com/hub/samsung-galaxy-s9-plus-review?pid=32363
2268,"Vivo NEX (Black, 128 GB)",https://www.91mobiles.com/hub/vivo-nex-review?pid=32615
2394,"Vivo V11 Pro (Starry Night Black, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.91mobiles.com/hub/vivo-v11-pro-review?pid=32657
2261,"Vivo V9 (Pearl Black, 64 GB)",https://www.91mobiles.com/hub/vivo-v9-review?pid=32277
2269,"Vivo X21 (Black, 128 GB)",https://www.91mobiles.com/hub/vivo-x21-review?pid=32488
2405,"Xiaomi Mi A2 (Black, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-mi-a2-review?pid=32182
2405,"Xiaomi Mi A2 (Black, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-mi-a2-review?pid=32182
2240,"Redmi 5 (Black, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-5-review?pid=32302
2240,"Redmi 5 (Gold, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-5-review?pid=32302
2415,"Redmi 6 Pro (Lake Blue, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-6-pro-review?pid=32968
2413,"Mi Redmi 6 (Black, 3GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6-review?pid=32331
2413,"Mi Redmi 6 (Black, 3GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6-review?pid=32331
2413,"Mi Redmi 6 (Gold, 3GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6-review?pid=32331
2413,"Mi Redmi 6 (Gold, 3GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6-review?pid=32331
2413,"Mi Redmi 6 (Gold, 3GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6-review?pid=32331
2413,"Xiaomi Redmi 6 (Gold, 3GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6-review?pid=32331
2413,"Redmi 6 (Rose Gold, 3GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6-review?pid=32644
2417,"Mi Redmi 6A (Gold, 2GB RAM, 16GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32575
2417,"Mi Redmi 6A (Black, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2417,"Mi Redmi 6A (Rose Gold, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2220,"Redmi 6 (Black, 3GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2413,"Redmi 6 (Blue, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2413,"Redmi 6 (Blue, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2413,"Redmi 6 (Blue, 3GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2415,"Redmi 6A (Blue, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2417,"Redmi 6A (Blue, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2417,"Redmi 6A (Gold, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2417,"Redmi 6A (Rose Gold, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-6a-review?pid=32967
2234,"Redmi Note 5 Pro (Black, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-pro-review?pid=32199
2235,"Redmi Note 5 Pro (Blue, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-pro-review?pid=32199
2235,"Redmi Note 5 Pro (Gold, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-pro-review?pid=32199
2235,"Redmi Note 5 Pro (Gold, 6GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-pro-review?pid=32199
2235,"Redmi Note 5 Pro (Rose Gold, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-pro-review?pid=32199
2235,"Redmi Note 5 Pro (Rose Gold, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-pro-review?pid=32199
2235,"Redmi Note 6 Pro (Blue, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-pro-review?pid=32199
2414,"Redmi Note 6 Pro (Red, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-pro-review?pid=32199
2426,"Redmi 5 (Black, 2GB RAM, 16GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=30121
2240,"Redmi 5 (Gold, 2GB RAM, 16GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=30121
2240,"Redmi 5 (Gold, 2GB RAM, 16GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=30121
2234,"Redmi Note 5 (Rose Gold, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=30121
2240,"Redmi 5 (Gold, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=32195
2240,"Redmi 5 (Gold, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=32195
2240,"Redmi 5 (Rose Gold, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=32195
2234,"Redmi Note 5 (Gold, 64 GB) (4 GB RAM)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=32195
2234,"Redmi Note 5 (Rose Gold, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=32195
2234,"Redmi Note 5 (Rose Gold, 64 GB) (4 GB RAM)",https://www.91mobiles.com/hub/xiaomi-redmi-note-5-review?pid=32195
2413,"Redmi 6 Pro (Gold, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-6-pro-review?pid=32954
2415,"Redmi 6 Pro (Red, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-6-pro-review?pid=32954
2415,"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-6-pro-review?pid=32954
2415,"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-6-pro-review?pid=32954
2415,"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-6-pro-review?pid=32954
2415,"Redmi 6 Pro (Red, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-6-pro-review?pid=32954
2417,"Redmi 7 (Comet Blue, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2499,"Redmi 7 (Comet Blue, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2499,"Redmi 7 (Comet Blue, 3GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2499,"Redmi 7 (Eclipse Black, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2499,"Redmi 7 (Eclipse Black, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2499,"Redmi 7 (Eclipse Black, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2499,"Redmi 7 (Lunar Red, 2GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2499,"Redmi 7 (Lunar Red, 3GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2414,"Redmi Note 7 (Sapphire Blue, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2464,"Redmi Note 7 (Sapphire Blue, 32 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33386
2499,"Redmi 7 (Comet Blue, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33556
2499,"Redmi 7 (Lunar Red, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33556
2464,"Redmi Note 7 (Sapphire Blue, 64GB, 4GB RAM)",https://www.91mobiles.com/hub/xiaomi-redmi-note-7-review?pid=33556
2202,"Redmi Y1 (Gold, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-y1-review?pid=31646
2203,"Redmi Y1 lite (Rose Gold, 16 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-y1-review?pid=31646
2419,"Redmi Y2 (Black, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-y2-review?pid=32636
2419,"Redmi Y2 (Gold, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-y2-review?pid=32636
2491,"Redmi Y3 (Prime Black, 3GB RAM, 32GB Storage)",https://www.91mobiles.com/hub/xiaomi-redmi-y3-review?pid=33614
2491,"Redmi Y3 (Elegant Blue, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-y3-review?pid=33713
2491,"Redmi Y3 (Prime Black, 64 GB)",https://www.91mobiles.com/hub/xiaomi-redmi-y3-review?pid=33713
1622,"Samsung Galaxy J2 Pro (Black, 16 GB)",https://www.91mobiles.com/samsung-galaxy-j2-pro-price-in-india?utm_source=SERP#expert_reviews1
2461,"Samsung Galaxy M30 (Gradation Black, 64 GB)",https://www.91mobiles.com/Samsung-Galaxy+M30-viewReview.html
2461,"Samsung Galaxy M30 (Gradation Blue, 64 GB)",https://www.91mobiles.com/Samsung-Galaxy+M30-viewReview.html
