source_id,product_id,source_product_id,source_product_name,source_product_url
3,20000082,B0721KGSXX,"Pedigree Gravy Adult Dog Food, Chicken and Vegetable in Gravy, 100 g Pouch (Pack of 4)",https://www.amazon.in/dp/B0721KGSXX
3,20000082,B0757QT152,"Pedigree Gravy Adult Dog Food, Chicken and Vegetable in Gravy, 100 g Pouch (Pack of 4)",https://www.amazon.in/dp/B0757QT152
3,20000083,B071GL97KS,"Pedigree Jumbone Adult Dog Treats, Chicken and Rice, 200 g Pouch (Pack of 2)",https://www.amazon.in/dp/B071GL97KS
3,20000083,B0757SV8CZ,"Pedigree Jumbone Adult Dog Treats, Chicken and Rice, 200 g Pouch (Pack of 2)",https://www.amazon.in/dp/B0757SV8CZ
3,20000084,B071K6CGNH,"Pedigree Meat Jerky Stix Dog Treats, Bacon, 60 g Pouch (Pack of 4)",https://www.amazon.in/dp/B071K6CGNH
3,20000084,B0757S51Y4,"Pedigree Meat Jerky Stix Dog Treats, Bacon, 60 g Pouch (Pack of 4)",https://www.amazon.in/dp/B0757S51Y4
3,20000085,B071K6CXJL,"Pedigree Meat Jerky Stix Dog Treats, Smoked Salmon, 60 g Pouch (Pack of 4)",https://www.amazon.in/dp/B071K6CXJL
3,20000085,B0757QSWWF,"Pedigree Meat Jerky Stix Dog Treats, Smoked Salmon, 60 g Pouch (Pack of 4)",https://www.amazon.in/dp/B0757QSWWF
3,20000086,B071K6CFLL,"Pedigree Meat Jerky Stix Dog Treats, Barbeque Chicken, 80 g (Pack of 4)",https://www.amazon.in/dp/B071K6CFLL
3,20000087,B071GL9R15,"Pedigree Meat Jerky Stix Dog Treats, Liver, 80 g Pouch (Pack of 4)",https://www.amazon.in/dp/B071GL9R15
3,20000087,B0757S51Y5,"Pedigree Meat Jerky Stix Dog Treats, Liver, 80 g Pouch (Pack of 4)",https://www.amazon.in/dp/B0757S51Y5
3,20000088,B072KDVPGQ,"Pedigree Meat Jerky Stix Dog Treats, Lamb, 80 g Pouch (Pack of 4)",https://www.amazon.in/dp/B072KDVPGQ
3,20000088,B0757SVMZG,"Pedigree Meat Jerky Stix Dog Treats, Lamb, 80 g Pouch (Pack of 4)",https://www.amazon.in/dp/B0757SVMZG
